time,"I(IIN_A)","I(IIN_B)","I(ICLK)","I(LOUT)"
1.760000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.760250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.760500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.760750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.761000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.761250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.761500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.761750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.762000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.762250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.762500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783402e-05
1.762750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783402e-05
1.763000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783402e-05
1.763250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.763500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.763750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.764000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.764250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.764500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.764750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.765000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.765250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.765500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.765750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.766000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783402e-05
1.766250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.766500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.766750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.767000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.767250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.767500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.767750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.768000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.768250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.768500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.768750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.769000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.769250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.769500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.769750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.770000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.770250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.770500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.770750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.771000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.771250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.771500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.771750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.772000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.772250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.772500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.772750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.773000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.773250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.773500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.773750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.774000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.774250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.774500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.774750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.775000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.775250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.775500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.775750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.776000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.776250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.776500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.776750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.777000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.777250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.777500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.777750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.778000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.778250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.778500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.778750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.779000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.779250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.779500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.779750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.780000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.780250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.780500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.780750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.781000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.781250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.781500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.781750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.782000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.782250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.782500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.782750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.783000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.783250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.783500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.783750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.784000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.784250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.784500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.784750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.785000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.785250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.785500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.785750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.786000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.786250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.786500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.786750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.787000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.787250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.787500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
