time,"I(IIN_A)","I(IIN_B)","I(ICLK1)","I(ICLK2)","I(LOUT)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,-1.000000e-06,-1.000000e-06,0.000000e+00,0.000000e+00,2.519817e-08
5.000000e-13,-2.000000e-06,-2.000000e-06,0.000000e+00,0.000000e+00,6.542011e-08
7.500000e-13,-3.000000e-06,-3.000000e-06,0.000000e+00,0.000000e+00,1.238434e-07
1.000000e-12,-4.000000e-06,-4.000000e-06,0.000000e+00,0.000000e+00,1.975487e-07
1.250000e-12,-5.000000e-06,-5.000000e-06,0.000000e+00,0.000000e+00,2.786857e-07
1.500000e-12,-6.000000e-06,-6.000000e-06,0.000000e+00,0.000000e+00,3.575095e-07
1.750000e-12,-7.000000e-06,-7.000000e-06,0.000000e+00,0.000000e+00,4.259267e-07
2.000000e-12,-8.000000e-06,-8.000000e-06,0.000000e+00,0.000000e+00,4.802050e-07
2.250000e-12,-9.000000e-06,-9.000000e-06,0.000000e+00,0.000000e+00,5.219419e-07
2.500000e-12,-1.000000e-05,-1.000000e-05,0.000000e+00,0.000000e+00,5.570900e-07
2.750000e-12,-1.100000e-05,-1.100000e-05,0.000000e+00,0.000000e+00,5.935266e-07
3.000000e-12,-1.200000e-05,-1.200000e-05,0.000000e+00,0.000000e+00,6.381323e-07
3.250000e-12,-1.300000e-05,-1.300000e-05,0.000000e+00,0.000000e+00,6.944331e-07
3.500000e-12,-1.400000e-05,-1.400000e-05,0.000000e+00,0.000000e+00,7.615873e-07
3.750000e-12,-1.500000e-05,-1.500000e-05,0.000000e+00,0.000000e+00,8.349726e-07
4.000000e-12,-1.600000e-05,-1.600000e-05,0.000000e+00,0.000000e+00,9.080536e-07
4.250000e-12,-1.700000e-05,-1.700000e-05,0.000000e+00,0.000000e+00,9.747904e-07
4.500000e-12,-1.800000e-05,-1.800000e-05,0.000000e+00,0.000000e+00,1.031717e-06
4.750000e-12,-1.900000e-05,-1.900000e-05,0.000000e+00,0.000000e+00,1.078991e-06
5.000000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.120123e-06
5.250000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.135364e-06
5.500000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.140272e-06
5.750000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.135142e-06
6.000000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.123367e-06
6.250000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.110289e-06
6.500000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.101188e-06
6.750000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.099369e-06
7.000000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.105097e-06
7.250000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.115725e-06
7.500000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.126885e-06
7.750000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.134231e-06
8.000000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.135065e-06
8.250000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.129255e-06
8.500000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.119163e-06
8.750000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.108665e-06
9.000000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.101663e-06
9.250000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.100662e-06
9.500000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.105916e-06
9.750000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.115415e-06
1.000000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.125682e-06
1.025000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.133061e-06
1.050000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.135016e-06
1.075000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.130979e-06
1.100000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.122487e-06
1.125000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.112575e-06
1.150000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.104674e-06
1.175000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.101421e-06
1.200000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.103785e-06
1.225000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.110798e-06
1.250000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.119959e-06
1.275000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.128135e-06
1.300000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.132640e-06
1.325000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.132113e-06
1.350000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.126922e-06
1.375000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.118957e-06
1.400000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.110949e-06
1.425000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.105518e-06
1.450000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.104326e-06
1.475000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.107568e-06
1.500000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.113987e-06
1.525000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.121351e-06
1.550000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.127235e-06
1.575000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.129814e-06
1.600000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.128427e-06
1.625000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.123730e-06
1.650000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.117405e-06
1.675000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.111568e-06
1.700000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.108056e-06
1.725000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.107858e-06
1.750000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.110845e-06
1.775000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.115879e-06
1.800000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.121237e-06
1.825000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.125199e-06
1.850000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.126597e-06
1.875000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.125148e-06
1.900000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.121493e-06
1.925000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.116928e-06
1.950000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.112954e-06
1.975000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.110782e-06
2.000000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.110975e-06
2.025000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.113312e-06
2.050000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.116909e-06
2.075000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.120551e-06
2.100000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.123093e-06
2.125000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.123816e-06
2.150000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,1.122627e-06
