time,"I(IIN_A)","I(IIN_B)","I(ICLK1)","I(ICLK2)","I(ICLK3)","I(ICLK4)","I(LOUT)"
1.175000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.093280e-06
1.200000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.088478e-06
1.225000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.087961e-06
1.250000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.091544e-06
1.275000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.097738e-06
1.300000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.104339e-06
1.325000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.109190e-06
1.350000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.110875e-06
1.375000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.109110e-06
1.400000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.104744e-06
1.425000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.099389e-06
1.450000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.094848e-06
1.475000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.092512e-06
1.500000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.092953e-06
1.525000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.095806e-06
